osm_subject,amenity,ar,en,fr
https://www.openstreetmap.org/node/4318216299,waste_baske,,,
https://www.openstreetmap.org/node/4318216300,waste_baske,,,
https://www.openstreetmap.org/node/4318216301,waste_baske,,,
https://www.openstreetmap.org/node/4318216302,waste_baske,,,
https://www.openstreetmap.org/node/4318216303,waste_baske,,,
https://www.openstreetmap.org/node/4318216304,waste_baske,,,
https://www.openstreetmap.org/node/4318216305,waste_baske,,,
https://www.openstreetmap.org/node/4318216306,waste_baske,,,
https://www.openstreetmap.org/node/4318216307,waste_baske,,,
https://www.openstreetmap.org/node/4318216308,waste_baske,,,
https://www.openstreetmap.org/node/4318216309,waste_baske,,,
https://www.openstreetmap.org/node/4318216392,waste_baske,,,
https://www.openstreetmap.org/node/4318216393,waste_baske,,,
https://www.openstreetmap.org/node/4318216394,waste_baske,,,
https://www.openstreetmap.org/node/4318216395,waste_baske,,,
https://www.openstreetmap.org/node/4318216396,waste_baske,,,
https://www.openstreetmap.org/node/4318216397,waste_baske,,,
https://www.openstreetmap.org/node/4318216398,waste_baske,,,
https://www.openstreetmap.org/node/4318216399,waste_baske,,,
https://www.openstreetmap.org/node/4318216400,waste_baske,,,
https://www.openstreetmap.org/node/4318216401,waste_baske,,,
https://www.openstreetmap.org/node/4318216402,waste_baske,,,
https://www.openstreetmap.org/node/4318216403,waste_baske,,,
https://www.openstreetmap.org/node/4318216404,waste_baske,,,
https://www.openstreetmap.org/node/4318216405,waste_baske,,,
https://www.openstreetmap.org/node/4318216406,waste_baske,,,
https://www.openstreetmap.org/node/4318216407,waste_baske,,,
https://www.openstreetmap.org/node/4318216408,waste_baske,,,
https://www.openstreetmap.org/node/4318216409,waste_baske,,,
https://www.openstreetmap.org/node/4318216410,waste_baske,,,
https://www.openstreetmap.org/node/4318216411,waste_baske,,,
https://www.openstreetmap.org/node/2614442496,restaurant,جالكسي كيك,,
https://www.openstreetmap.org/node/4318221690,waste_baske,,,
https://www.openstreetmap.org/node/4318221732,waste_baske,,,
https://www.openstreetmap.org/node/4318221734,waste_baske,,,
https://www.openstreetmap.org/node/4318221795,waste_baske,,,
https://www.openstreetmap.org/node/4318223791,waste_baske,,,
https://www.openstreetmap.org/node/4318224290,waste_baske,,,
https://www.openstreetmap.org/node/4318224291,waste_baske,,,
https://www.openstreetmap.org/node/4318224292,waste_baske,,,
https://www.openstreetmap.org/node/4318224389,waste_baske,,,
https://www.openstreetmap.org/node/4318224427,waste_baske,,,
https://www.openstreetmap.org/node/4318224489,waste_baske,,,
https://www.openstreetmap.org/node/4318224513,waste_baske,,,
https://www.openstreetmap.org/node/4318224515,waste_baske,,,
https://www.openstreetmap.org/node/4318224516,waste_baske,,,
https://www.openstreetmap.org/node/4318224589,waste_baske,,,
https://www.openstreetmap.org/node/4318226492,waste_baske,,,
https://www.openstreetmap.org/node/4318226529,waste_baske,,,
https://www.openstreetmap.org/node/5077270352,library,مكتبة الحاج صلاح أبو طه,,
https://www.openstreetmap.org/node/5077272623,school,ابو طه,,
https://www.openstreetmap.org/node/4318240690,waste_baske,,,
https://www.openstreetmap.org/node/4318240691,waste_baske,,,
https://www.openstreetmap.org/node/4318240692,waste_baske,,,
https://www.openstreetmap.org/node/4318240693,waste_baske,,,
https://www.openstreetmap.org/node/4318240694,waste_baske,,,
https://www.openstreetmap.org/node/4318240695,waste_baske,,,
https://www.openstreetmap.org/node/4318240696,waste_baske,,,
https://www.openstreetmap.org/node/4318240697,waste_baske,,,
https://www.openstreetmap.org/node/4318240698,waste_baske,,,
https://www.openstreetmap.org/node/4318240699,waste_baske,,,
https://www.openstreetmap.org/node/4318243790,waste_baske,,,
https://www.openstreetmap.org/node/4318243791,waste_baske,,,
https://www.openstreetmap.org/node/4318243792,waste_baske,,,
https://www.openstreetmap.org/node/4318243793,waste_baske,,,
https://www.openstreetmap.org/node/4318243794,waste_baske,,,
https://www.openstreetmap.org/node/4318243795,waste_baske,,,
https://www.openstreetmap.org/node/4318243796,waste_baske,,,
https://www.openstreetmap.org/node/4318272490,waste_baske,,,
https://www.openstreetmap.org/node/4318272491,waste_baske,,,
https://www.openstreetmap.org/node/4318272492,waste_baske,,,
https://www.openstreetmap.org/node/4318272493,waste_baske,,,
https://www.openstreetmap.org/node/4318272494,waste_baske,,,
https://www.openstreetmap.org/node/4318272495,waste_baske,,,
https://www.openstreetmap.org/node/4318272496,waste_baske,,,
https://www.openstreetmap.org/node/4318272497,waste_baske,,,
https://www.openstreetmap.org/node/4318272498,waste_baske,,,
https://www.openstreetmap.org/node/4318272499,waste_baske,,,
https://www.openstreetmap.org/node/4885767621,car_rental,مكتب تاكسيات أصلان,,
https://www.openstreetmap.org/node/5423014922,pharmacy,,Dr. Mariam Pharmac,
https://www.openstreetmap.org/node/4318274315,waste_baske,,,
https://www.openstreetmap.org/node/4318275713,waste_baske,,,
https://www.openstreetmap.org/node/4318276191,waste_baske,,,
https://www.openstreetmap.org/node/4318276192,waste_baske,,,
https://www.openstreetmap.org/node/4318279290,waste_baske,,,
https://www.openstreetmap.org/node/4318280389,waste_baske,,,
https://www.openstreetmap.org/node/4318280390,waste_baske,,,
https://www.openstreetmap.org/node/4318280391,waste_baske,,,
https://www.openstreetmap.org/node/4318280392,waste_baske,,,
https://www.openstreetmap.org/node/4318280393,waste_baske,,,
https://www.openstreetmap.org/node/4318280394,waste_baske,,,
https://www.openstreetmap.org/node/4318280395,waste_baske,,,
https://www.openstreetmap.org/node/4318280398,waste_baske,,,
https://www.openstreetmap.org/node/4318280399,waste_baske,,,
https://www.openstreetmap.org/node/4318280400,waste_baske,,,
https://www.openstreetmap.org/node/4318280789,waste_baske,,,
https://www.openstreetmap.org/node/4318280790,waste_baske,,,
https://www.openstreetmap.org/node/4318280791,waste_baske,,,
https://www.openstreetmap.org/node/4318280792,waste_baske,,,
https://www.openstreetmap.org/node/4318280793,waste_baske,,,
https://www.openstreetmap.org/node/4318280794,waste_baske,,,
https://www.openstreetmap.org/node/4318280795,waste_baske,,,
https://www.openstreetmap.org/node/4318280797,waste_baske,,,
https://www.openstreetmap.org/node/4318280798,waste_baske,,,
https://www.openstreetmap.org/node/4318280799,waste_baske,,,
https://www.openstreetmap.org/node/4318280800,waste_baske,,,
https://www.openstreetmap.org/node/4318282889,waste_baske,,,
https://www.openstreetmap.org/node/4318282890,waste_baske,,,
https://www.openstreetmap.org/node/4318282891,waste_baske,,,
https://www.openstreetmap.org/node/4318283589,waste_baske,,,
https://www.openstreetmap.org/node/4318283590,waste_baske,,,
https://www.openstreetmap.org/node/4318283591,waste_baske,,,
https://www.openstreetmap.org/node/4318283592,waste_baske,,,
https://www.openstreetmap.org/node/4318283593,waste_baske,,,
https://www.openstreetmap.org/node/4318284189,waste_baske,,,
https://www.openstreetmap.org/node/4318284190,waste_baske,,,
https://www.openstreetmap.org/node/4318284191,waste_baske,,,
https://www.openstreetmap.org/node/4318284192,waste_baske,,,
https://www.openstreetmap.org/node/4318284193,waste_baske,,,
https://www.openstreetmap.org/node/4318284194,waste_baske,,,
https://www.openstreetmap.org/node/4318284196,waste_baske,,,
https://www.openstreetmap.org/node/4318284197,waste_baske,,,
https://www.openstreetmap.org/node/4318284198,waste_baske,,,
https://www.openstreetmap.org/node/4318284199,waste_baske,,,
https://www.openstreetmap.org/node/4318284200,waste_baske,,,
https://www.openstreetmap.org/node/4318284289,waste_baske,,,
https://www.openstreetmap.org/node/4318284290,waste_baske,,,
https://www.openstreetmap.org/node/4318284389,waste_baske,,,
https://www.openstreetmap.org/node/4318284789,waste_baske,,,
https://www.openstreetmap.org/node/4126744391,doctors,,,
https://www.openstreetmap.org/node/4126744392,doctors,,,
https://www.openstreetmap.org/node/2614522390,school,المدرسة الهاشمية للبنات ابتدائي,,
https://www.openstreetmap.org/node/6079702885,bank,,,
https://www.openstreetmap.org/node/4318287789,waste_baske,,,
https://www.openstreetmap.org/node/2614524950,school,مدرسة ابن الهيثم الابتدائية للبنين,,
https://www.openstreetmap.org/node/4318290824,waste_baske,,,
https://www.openstreetmap.org/node/4318290994,waste_baske,,,
https://www.openstreetmap.org/node/4318291497,waste_baske,,,
https://www.openstreetmap.org/node/4318291609,waste_baske,,,
https://www.openstreetmap.org/node/4318291610,waste_baske,,,
https://www.openstreetmap.org/node/4318291903,waste_baske,,,
https://www.openstreetmap.org/node/4318291989,waste_baske,,,
https://www.openstreetmap.org/node/4318292989,waste_baske,,,
https://www.openstreetmap.org/node/5709096222,atm,,,
https://www.openstreetmap.org/node/330371807,police,,,
https://www.openstreetmap.org/node/5163029521,nightclub,,,
https://www.openstreetmap.org/node/5646656721,place_of_worship,,,
https://www.openstreetmap.org/node/4376774736,school,مدرسة أبو رشيد لتعليم قيادة السيارات,مدرسة أبو رشيد لتعليم قيادة السيارات,
https://www.openstreetmap.org/node/4952490022,yes,حي الفرقان SOS,,
https://www.openstreetmap.org/node/4952490023,yes,البراق,,
https://www.openstreetmap.org/node/4952490026,yes,أبو عميرة,,
https://www.openstreetmap.org/node/4952490027,yes,أبو ماضي,,
https://www.openstreetmap.org/node/4952490028,yes,أمين أبو الحصين,,
https://www.openstreetmap.org/node/4952490030,yes,ملعب البلدية,,
https://www.openstreetmap.org/node/4952490031,yes,العطاطرة,,
https://www.openstreetmap.org/node/4952490032,yes,مسجد عائشة,,
https://www.openstreetmap.org/node/4952490033,yes,مدخل النصر الغربي,,
https://www.openstreetmap.org/node/4952490034,yes,مكب خزاعة,,
https://www.openstreetmap.org/node/4952490035,yes,السناطي,,
https://www.openstreetmap.org/node/4952490036,yes,المستشار أبو دقة,,
https://www.openstreetmap.org/node/4952490037,yes,نبيل القهوجي,,
https://www.openstreetmap.org/node/4952490038,yes,حجازي,,
https://www.openstreetmap.org/node/4952490039,yes,نادي القرارة,,
https://www.openstreetmap.org/node/4952490040,yes,منطقة الديراوي,,
https://www.openstreetmap.org/node/4952490041,yes,البسمة بلسم,,
https://www.openstreetmap.org/node/4952490042,yes,مصلى الفرا شارع السكة,,
https://www.openstreetmap.org/node/4952490045,yes,الغوافير,,
https://www.openstreetmap.org/node/4952490050,yes,مجرى وادي السلقا,,
https://www.openstreetmap.org/node/4952490051,yes,غرب جمعية المصدر,,
https://www.openstreetmap.org/node/4952490052,yes,جنوب جمعية التنمية الريفية,,
https://www.openstreetmap.org/node/4952490053,yes,بجانب بئر بلدية المصدر,,
https://www.openstreetmap.org/node/4952490054,yes,جوز أبو حمام كبير,,
https://www.openstreetmap.org/node/4952509322,yes,صالة دريم,,
https://www.openstreetmap.org/node/4952509421,yes,محطة ترحيل تل السلطان,,
https://www.openstreetmap.org/node/4952509422,yes,بوابة صلاح الدين,,
https://www.openstreetmap.org/node/4952509423,yes,شارع غبون,,
https://www.openstreetmap.org/node/4952509424,yes,حارة الأخرس,,
https://www.openstreetmap.org/node/4952509427,yes,شارع أبو نعمة,,
https://www.openstreetmap.org/node/4952509430,yes,حوش عفانة,,
https://www.openstreetmap.org/node/4952509431,yes,الجميزة,,
https://www.openstreetmap.org/node/4952509432,yes,الشلالفة,,
https://www.openstreetmap.org/node/4952509433,yes,مسجد خالد بن الوليد,,
https://www.openstreetmap.org/node/4952509434,yes,وادي أبو صابر,,
https://www.openstreetmap.org/node/4952509435,yes,أبو دروج,,
https://www.openstreetmap.org/node/4952509436,yes,الرميضة,,
https://www.openstreetmap.org/node/4952509438,yes,ابن النفيس مكب مؤقت,,
